link_stub,rank,title,lifetime_gross,year,actor_actress
/title/tt0367882/?ref_=bo_cso_table_77,77,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119",2008,Harrison Ford
/title/tt0120737/?ref_=bo_cso_table_78,78,The Lord of the Rings: The Fellowship of the Ring,"$315,710,750",2001,Elijah Wood
/title/tt3501632/?ref_=bo_cso_table_79,79,Thor: Ragnarok,"$315,058,289",2017,Chris Hemsworth
/title/tt1228705/?ref_=bo_cso_table_80,80,Iron Man 2,"$312,433,331",2010,Robert Downey Jr.
/title/tt0121765/?ref_=bo_cso_table_81,81,Star Wars: Episode II - Attack of the Clones,"$310,676,740",2002,Hayden Christensen
/title/tt0449088/?ref_=bo_cso_table_82,82,Pirates of the Caribbean: At World's End,"$309,420,425",2007,Johnny Depp
/title/tt0086190/?ref_=bo_cso_table_83,83,Star Wars: Episode VI - Return of the Jedi,"$309,306,177",1983,Mark Hamill
/title/tt0116629/?ref_=bo_cso_table_84,84,Independence Day,"$306,169,268",1996,Will Smith
/title/tt0325980/?ref_=bo_cso_table_85,85,Pirates of the Caribbean: The Curse of the Black Pearl,"$305,413,918",2003,Johnny Depp
/title/tt1074638/?ref_=bo_cso_table_86,86,Skyfall,"$304,360,277",2012,Daniel Craig
/title/tt0903624/?ref_=bo_cso_table_87,87,The Hobbit: An Unexpected Journey,"$303,003,568",2012,Martin Freeman
/title/tt0417741/?ref_=bo_cso_table_88,88,Harry Potter and the Half-Blood Prince,"$302,305,431",2009,Daniel Radcliffe
/title/tt1325004/?ref_=bo_cso_table_89,89,The Twilight Saga: Eclipse,"$300,531,751",2010,Kristen Stewart
/title/tt1259571/?ref_=bo_cso_table_90,90,The Twilight Saga: New Moon,"$297,816,253",2009,Kristen Stewart
/title/tt0926084/?ref_=bo_cso_table_91,91,Harry Potter and the Deathly Hallows: Part 1,"$296,347,721",2010,Daniel Radcliffe
/title/tt0167404/?ref_=bo_cso_table_92,92,The Sixth Sense,"$293,506,292",1999,Bruce Willis
/title/tt1049413/?ref_=bo_cso_table_93,93,Up,"$293,004,164",2009,Edward Asner
/title/tt0080684/?ref_=bo_cso_table_94,94,Star Wars: Episode V - The Empire Strikes Back,"$292,753,960",1980,Mark Hamill
/title/tt1375666/?ref_=bo_cso_table_95,95,Inception,"$292,576,195",2010,Leonardo DiCaprio
/title/tt0373889/?ref_=bo_cso_table_96,96,Harry Potter and the Order of the Phoenix,"$292,353,413",2007,Daniel Radcliffe
/title/tt1673434/?ref_=bo_cso_table_97,97,The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737",2012,Kristen Stewart
/title/tt0363771/?ref_=bo_cso_table_98,98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957",2005,Tilda Swinton
/title/tt0770828/?ref_=bo_cso_table_99,99,Man of Steel,"$291,045,518",2013,Henry Cavill
/title/tt0198781/?ref_=bo_cso_table_100,100,"Monsters, Inc.","$290,642,256",2001,Billy Crystal
/title/tt0330373/?ref_=bo_cso_table_101,101,Harry Potter and the Goblet of Fire,"$290,417,905",2005,Daniel Radcliffe
/title/tt0099785/?ref_=bo_cso_table_102,102,Home Alone,"$285,761,243",1990,Macaulay Culkin
/title/tt1951266/?ref_=bo_cso_table_103,103,The Hunger Games: Mockingjay - Part 2,"$281,723,902",2015,Jennifer Lawrence
/title/tt0234215/?ref_=bo_cso_table_104,104,The Matrix Reloaded,"$281,576,461",2003,Keanu Reeves
/title/tt1324999/?ref_=bo_cso_table_105,105,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133",2011,Kristen Stewart
/title/tt0290002/?ref_=bo_cso_table_106,106,Meet the Fockers,"$279,261,160",2004,Ben Stiller
/title/tt1119646/?ref_=bo_cso_table_107,107,The Hangover,"$277,322,503",2009,Zach Galifianakis
/title/tt1454468/?ref_=bo_cso_table_108,108,Gravity,"$274,092,705",2013,Sandra Bullock
/title/tt2709692/?ref_=bo_cso_table_109,109,The Grinch,"$271,094,731",2018,Benedict Cumberbatch
/title/tt3470600/?ref_=bo_cso_table_110,110,Sing,"$270,448,425",2016,Matthew McConaughey
/title/tt1453405/?ref_=bo_cso_table_111,111,Monsters University,"$268,492,764",2013,Billy Crystal
/title/tt0126029/?ref_=bo_cso_table_112,112,Shrek,"$267,665,011",2001,Mike Myers
/title/tt3469046/?ref_=bo_cso_table_113,113,Despicable Me 3,"$264,624,300",2017,Steve Carell
/title/tt0295297/?ref_=bo_cso_table_114,114,Harry Potter and the Chamber of Secrets,"$262,450,136",2002,Daniel Radcliffe
/title/tt0948470/?ref_=bo_cso_table_115,115,The Amazing Spider-Man,"$262,030,663",2012,Andrew Garfield
/title/tt0317705/?ref_=bo_cso_table_116,116,The Incredibles,"$261,441,092",2004,Craig T. Nelson
/title/tt0073195/?ref_=bo_cso_table_117,117,Jaws,"$260,758,300",1975,Roy Scheider
/title/tt0170016/?ref_=bo_cso_table_118,118,How the Grinch Stole Christmas,"$260,465,005",2000,Jim Carrey
/title/tt1843866/?ref_=bo_cso_table_119,119,Captain America: The Winter Soldier,"$259,766,572",2014,Chris Evans
/title/tt1170358/?ref_=bo_cso_table_120,120,The Hobbit: The Desolation of Smaug,"$258,366,855",2013,Ian McKellen
/title/tt1490017/?ref_=bo_cso_table_121,121,The Lego Movie,"$257,760,692",2014,Chris Pratt
/title/tt0796366/?ref_=bo_cso_table_122,122,Star Trek,"$257,730,019",2009,Chris Pine
/title/tt0480249/?ref_=bo_cso_table_123,123,I Am Legend,"$256,393,010",2007,Will Smith
/title/tt0878804/?ref_=bo_cso_table_124,124,The Blind Side,"$255,959,475",2009,Quinton Aaron
/title/tt2310332/?ref_=bo_cso_table_125,125,The Hobbit: The Battle of the Five Armies,"$255,119,788",2014,Ian McKellen
/title/tt1411697/?ref_=bo_cso_table_126,126,The Hangover Part II,"$254,464,305",2011,Bradley Cooper
/title/tt1323594/?ref_=bo_cso_table_127,127,Despicable Me,"$251,513,985",2010,Steve Carell
/title/tt0096895/?ref_=bo_cso_table_128,128,Batman,"$251,348,343",1989,Michael Keaton
/title/tt0477347/?ref_=bo_cso_table_129,129,Night at the Museum,"$250,863,268",2006,Ben Stiller
/title/tt0119654/?ref_=bo_cso_table_130,130,Men in Black,"$250,690,539",1997,Tommy Lee Jones
/title/tt0304141/?ref_=bo_cso_table_131,131,Harry Potter and the Prisoner of Azkaban,"$249,975,996",2004,Daniel Radcliffe
/title/tt3521164/?ref_=bo_cso_table_132,132,Moana,"$248,757,044",2016,Auli'i Cravalho
/title/tt0082971/?ref_=bo_cso_table_133,133,Indiana Jones and the Raiders of the Lost Ark,"$248,159,971",1981,Harrison Ford
/title/tt0120363/?ref_=bo_cso_table_134,134,Toy Story 2,"$245,852,179",1999,Tom Hanks
/title/tt2109248/?ref_=bo_cso_table_135,135,Transformers: Age of Extinction,"$245,439,076",2014,Mark Wahlberg
/title/tt0317219/?ref_=bo_cso_table_136,136,Cars,"$244,082,982",2006,Owen Wilson
/title/tt0087332/?ref_=bo_cso_table_137,137,Ghostbusters,"$243,187,079",1984,Bill Murray
/title/tt0315327/?ref_=bo_cso_table_138,138,Bruce Almighty,"$242,829,261",2003,Jim Carrey
